std_ctg_mcls_id,std_ctg_mcls_nm
2000000002,침구/커튼
1000022401,헤어/바디
1000023598,반려묘
1000023238,토탈리빙
2000000020,세제
2000000075,남성캐주얼
1000024438,(ON)가공_건강식품
1000024439,(ON)가공_과자
1000024446,(ON)가공_음료
1000024448,(ON)가공_커피/차
2000000025,제지
2000000017,JAJU생활
2000000035,HMR_냉동간식
1000024455,(ON)신선_올가닉
1000024461,(ON)HMR_델리/밀키트
2000000066,언더웨어
2000000043,가공_대용식
2000000061,완구/놀이/교육
2000000073,JAJU패션
2000000046,가공_유가공품
2000000001,조명/인테리어
2000000071,애완
2000000022,욕실용품 
2000000055,신선_양곡
1000024450,(ON)가공식품
1000024451,(ON)신선_건식품
1000024452,(ON)신선_과일
1000024454,(ON)신선_양곡
1000024456,(ON)신선_채소
1000024457,(ON)신선_축산
1000024453,(ON)신선_수산
1000024449,(ON)가공_통조림
1000024447,(ON)가공_조미료
1000025317,(N)HMR_델리/밀키트
1000025316,(N)HMR_반찬
1000025292,(N)HMR_농산HMR
1000025293,(N)HMR_베이커리
1000025294,(N)가공_건강식품
1000025295,(N)가공_과자
1000025290,(N)HMR_냉동간식
1000025296,(N)가공_냉동가공
1000025297,(N)HMR_육가공
1000025298,(N)가공_대용식
1000025302,(N)가공_음료
1000025299,(N)가공_분유/유아식
1000025300,(N)가공_우유/요구르트
1000025301,(N)가공_유가공품
1000025303,(N)가공_조미료
1000025304,(N)가공_커피/차
1000025305,(N)가공_통조림
1000025115,(N)신선식품
1000025306,(N)가공식품
1000025307,(N)신선_건식품
1000025308,(N)신선_과일
1000025309,(N)신선_수산
1000025311,(N)신선_올가닉
1000025312,(N)신선_채소
1000025313,(N)신선_축산
1000025314,(N)홍삼/건강식품
1000025315,(N)신선/가공식품(분스)
1000025183,(N)신선/가공식품(백화점)
1000025264,(N)건강식품/F&B(백화점)
1000025310,(N)신선_양곡
1000023709,메이크업/향수/기기
1000022271,HOWDY
1000025289,(N)HMR_간편육가공
2000000057,신선_채소
2000000058,신선_축산
2000000059,홍삼/건강식품
2000000060,아동/유아/임부패션
1000024259,(ON)신선식품
1000024445,(ON)가공_유가공품
1000024442,(ON)가공_대용식
1000024434,(ON)HMR_냉동간식
1000024441,(ON)HMR_육가공
1000024436,(ON)HMR_농산HMR
1000024440,(ON)가공_냉동가공
1000024435,(ON)HMR_냉동HMR
1000024437,(ON)HMR_베이커리
1000024433,(ON)HMR_간편육가공
1000025291,(N)HMR_냉동HMR
1000025199,(N)가공_주류
1000025201,(N)주류
2000000091,HMR_델리/밀키트
2000000032,시즌 스포츠(수영/구기/스키보드)
1000022719,Global
1000023413,건강식품/F&B(백화점)
2000000038,HMR_베이커리
1000024408,(ON)건강식품/F&B(백화점)
1000024411,(ON)가공_수입식품
1000024327,(ON)신선/가공식품(백화점)
1000024443,(ON)가공_분유/유아식
1000024444,(ON)가공_우유/요구르트
1000024458,(ON)홍삼/건강식품
1000024459,(ON)신선/가공식품(분스)
1000024460,(ON)HMR_반찬
2000000079,여성캐쥬얼
2000000050,가공_통조림
2000000051,가공/신선(예외분류)
2000000030,등산
2000000013,바디케어
2000000014,헤어케어
2000000015,헬스케어
2000000016,화장품
2000000037,HMR_농산HMR
2000000053,신선_과일
1000021357,기저귀/분유/유아식품
2000000042,HMR_육가공
2000000052,신선_건식품
1000021537,데이즈의류
1000021538,데이즈잡화
2000000087,e-BIZ
2000000036,HMR_냉동HMR
1000021823,페이리스
1000022521,가공_주류
1000022525,주류
2000000019,공구/수납/생활잡화
1000023024,스포츠 패션
2000000027,주방잡화
2000000034,HMR_간편육가공
2000000048,가공_조미료
2000000056,신선_올가닉
2000000023,일회용품
2000000021,식탁용품
2000000026,조리용품
2000000070,아쿠아/가든
2000000084,패션슈즈
1000020864,세탁
2000000042,가공_냉장가공
2000000089,백화점식품
2000000076,어패럴_데이즈
1000021080,신선식품
2000000028,청소용품
2000000029,골프클럽/용품/의류
2000000031,스포츠 슈즈
2000000039,가공_건강식품
2000000040,가공_과자
2000000041,가공_냉동가공
2000000044,가공_분유/유아식
2000000045,가공_우유/요구르트
2000000047,가공_음료
2000000049,가공_커피/차
2000000054,신선_수산
2000000062,출산/유아동용품
2000000080,캐주얼
2000000081,트랜드패션
2000000083,섬유잡화
2000000085,신선/가공식품(분스)
2000000089,건강식품/F&B(백화점)
2000000090,HMR_반찬
1000021958,신선/가공식품(백화점)
1000023714,유아동잡화
1000023715,유아/임부패션
1000023713,아동패션
1000023597,반려견
1000020892,HMR_가정식델리
1000020893,HMR_쿠킹델리
1000023371,Boots
1000023507,가공_수입식품
1000023548,V-커머스
1000022862,백화점멀티슈즈
1000026486,해외직구
1000024343,(ON)가공_주류
1000024345,(ON)주류
1000022252,쓱콘(신선/가공)
1000022253,쓱콘(건강식품)
1000022604,라이프 조명/공구
1000022608,라이프 가든/데코
1000022611,라이프 스토리지
1000022614,라이프 트래블
1000022617,라이프 문구
1000022620,라이프 펀&아이디어
1000021975,B2E 세제
1000021976,B2E 제지
1000021977,B2E 키친
1000021997,쓱콘(델리/베이커리)